ID,lat,lon,Station,state or country,country,Years,Range,
PVD,41.72,-71.43,Providence, Rhode Island , United States ,73.2,1948-2020 ,
MDW,41.79,-87.75,Chicago (Midway), Illinois , United States ,55.6,1948-1979 1997-2020 ,
BFD,41.8,-78.63,Bradford, Pennsylvania , United States ,29.9,1987-1993 1997-2020 ,
BFF,41.87,-103.59,Scottsbluff, Nebraska , United States ,74.1,1943-1944 1948-2020 ,
CID,41.88,-91.72,Cedar Rapids, Iowa , United States ,46,1973-1979 1981-2020 ,
TAN,41.88,-71.02,Taunton, Massachusetts , United States ,45.5,1943 1949-1971 1998-2020 ,
BDL,41.94,-72.68,Windsor Locks, Connecticut , United States ,75.4,1942-1945 1949-2020 ,
OFK,41.99,-97.44,Norfolk, Nebraska , United States ,48.5,1948-1951 1976-2020 ,
ORD,42,-87.93,Chicago (O'Hare), Illinois , United States ,73.5,1947-2020 ,
ERI,42.08,-80.18,Erie, Pennsylvania , United States ,72.7,1948-2020 ,
JHW,42.15,-79.25,Jamestown, New York , United States ,25,1993-2016 2018-2020 ,
LMT,42.15,-121.72,Klamath Falls, Oregon , United States ,44.9,1960-1966 1973-1979 1990-2020 ,
ELM,42.16,-76.89,Elmira, New York , United States ,50.8,1949-1954 1973-1994 1996-2020 ,
CEF,42.2,-72.53,Chicopee, Massachusetts , United States ,55.7,1941-1975 1989-1996 2008-2020 ,
BGM,42.21,-75.98,Binghamton, New York , United States ,72.8,1948-2020 ,
DTW,42.23,-83.33,Detroit, Michigan , United States ,71.3,1931-1933 1939-1941 1943-1946 1959-2020 ,
ORH,42.27,-71.87,Worcester, Massachusetts , United States ,69.7,1949-1958 1960-2020 ,
BOS,42.36,-71.01,Boston, Massachusetts , United States ,75.9,1945-2020 ,
SUX,42.39,-96.38,Sioux City, Iowa , United States ,75.7,1943-1945 1948-2020 ,
ALO,42.55,-92.4,Waterloo, Iowa , United States ,60.5,1960-2020 ,
SXT,42.6,-123.36,Sexton Summit, Oregon , United States ,48.5,1948 1966-1988 1993-2020 ,
MTC,42.61,-82.82,Mount Clemens, Michigan , United States ,81,1937-1971 1974-2020 ,
ALB,42.75,-73.8,Albany, New York , United States ,75.9,1945-2020 ,
LAN,42.78,-84.58,Lansing, Michigan , United States ,67.3,1949-1954 1959-2020 ,
LND,42.82,-108.73,Lander, Wyoming , United States ,63.9,1948 1950 1959-2020 ,
GRR,42.88,-85.52,Grand Rapids, Michigan , United States ,57,1964-2020 ,
VTN,42.88,-100.55,Valentine, Nebraska , United States ,48.3,1948 1973-2020 ,
CPR,42.9,-106.47,Casper, Wyoming , United States ,75.7,1940-1944 1950-2020 ,
PIH,42.92,-112.57,Pocatello, Idaho , United States ,74.1,1943-1944 1948-2020 ,
MKE,42.96,-87.9,Milwaukee, Wisconsin , United States ,72.9,1948-2020 ,
FNT,42.97,-83.75,Flint, Michigan , United States ,71.9,1949-2020 ,
PSM,43.08,-70.82,Portsmouth, New Hampshire , United States ,63.8,1956-1988 1990-2020 ,
BUF,43.11,-78.94,Buffalo, New York , United States ,76.9,1942-1943 1946-2020 ,
IAG,43.11,-78.94,Niagara Falls, New York , United States ,61.1,1952-1960 19631964 1969-1991 1993-2020 ,
SYR,43.11,-76.1,Syracuse, New York , United States ,66.5,1953-1992 1994-2020 ,
CON,43.12,-71.3,Concord, New Hampshire , United States ,72.4,1948-2020 ,
ROC,43.12,-77.68,Rochester, New York , United States ,56,1949-1955 1973-2020 ,
MSN,43.14,-89.35,Madison, Wisconsin , United States ,72.9,1948-2020 ,
MCW,43.15,-93.33,Mason City, Iowa , United States ,72.4,1948-2020 ,
MKG,43.17,-86.24,Muskegon, Michigan , United States ,65.6,1948-1952 1960-2020 ,
RME,43.23,-75.41,Rome, New York , United States ,64.9,1943-1994 2007-2020 ,
GFL,43.34,-73.61,Glens Falls, New York , United States ,72.9,1948-2020 ,
