ZCTA,lat,lon,city
22003,38.8308,-77.21402,Annandale
22015,38.78784,-77.28136,Burke
22025,38.59874,-77.3491,Dumfries
22026,38.56717,-77.29476,Dumfries
22027,38.89411,-77.22159,Dunn Loring
22030,38.83891,-77.34188,Fairfax
22031,38.85954,-77.2599,Fairfax
22032,38.82012,-77.29032,Fairfax
22033,38.87564,-77.38419,Fairfax
22035,38.85628,-77.36269,Fairfax
22039,38.74992,-77.31536,Fairfax Station
22041,38.8485,-77.14212,Falls Church
22042,38.86463,-77.19406,Falls Church
22043,38.90076,-77.19746,Falls Church
22044,38.85957,-77.15627,Falls Church
22046,38.88696,-77.18025,Falls Church
22060,38.70525,-77.15636,Fort Belvoir
22066,39.01032,-77.30258,Great Falls
22079,38.67998,-77.2055,Lorton
22101,38.9386,-77.16513,McLean
22102,38.95199,-77.22901,McLean
22124,38.8909,-77.33025,Oakton
22125,38.68217,-77.26073,Occoquan
22134,38.53186,-77.409,Quantico
22150,38.77198,-77.18605,Springfield
22151,38.80283,-77.2096,Springfield
22152,38.77564,-77.23149,Springfield
22153,38.74443,-77.23451,Springfield
22172,38.5742,-77.3895,Triangle
22180,38.89619,-77.25426,Vienna
22181,38.9053,-77.29466,Vienna
22182,38.93611,-77.2736,Vienna
22191,38.6249,-77.26849,Woodbridge
22192,38.68358,-77.31821,Woodbridge
22193,38.64233,-77.34881,Woodbridge
22201,38.88684,-77.09501,Arlington
22202,38.8569,-77.05175,Arlington
22203,38.87377,-77.1164,Arlington
22204,38.86076,-77.09894,Arlington
22205,38.88337,-77.13948,Arlington
22206,38.8442,-77.0886,Arlington
22207,38.90665,-77.12384,Arlington
22209,38.89413,-77.07309,Arlington
22211,38.88011,-77.07482,Fort Myer
22213,38.89459,-77.16239,Arlington
22214,38.87499,-77.06501,Arlington
22301,38.81995,-77.05934,Alexandria
22302,38.82799,-77.08432,Alexandria
22303,38.794,-77.08175,Alexandria
22304,38.81361,-77.11498,Alexandria
22305,38.83655,-77.06234,Alexandria
22306,38.75655,-77.09254,Alexandria
22307,38.7708,-77.05694,Alexandria
